epoch,timestamp,learning_rate,epoch_time,train_time,inference_time,avg_train_loss,avg_accuracy,avg_f1_score,avg_dice,avg_iou,avg_mae,avg_mae_std
11,2026-05-09T00:14:22.580692,1.9276855558857223e-05,1222.7942333221436,985.6880838871002,237.09799766540527,-0.0717810845295744,0.8162130264165934,0.7991694257636882,0.8795294078007196,0.7404367526372274,5.1564819280062695,0.43304120165892934
12,2026-05-09T00:34:43.109638,1.9127360151338272e-05,1220.4818322658539,984.671489238739,235.80234265327454,-0.11162424529235772,0.8249440948891925,0.8065630965403735,0.8864704517320877,0.7398233612378439,5.053708288564383,0.41325296598319844
13,2026-05-09T00:55:07.277947,1.8964561979789493e-05,1221.7074439525604,984.8207380771637,236.87861704826355,-0.14009149917983435,0.8079025892912681,0.7903877054507878,0.8860309287091129,0.7384085853894552,5.049919453587919,0.441487556367699
14,2026-05-09T01:15:29.033798,1.8788712067191574e-05,1221.7084784507751,984.5122692584991,237.18825030326843,-0.16643737494125743,0.8284376251428944,0.811374349172353,0.8894782497653511,0.7427075703938802,4.98780086354474,0.40908891825932203
15,2026-05-09T01:35:54.135266,1.8600081561363876e-05,1222.5945358276367,984.6950595378876,237.89145970344543,-0.18860301471888866,0.8047377641380736,0.7873137629732373,0.8914086845106964,0.7490830222765604,4.94249214669258,0.38178994095842406
16,2026-05-09T01:56:14.889393,1.839896131687418e-05,1220.7068738937378,983.8718085289001,236.82712292671204,-0.21592620034858337,0.82756741380466,0.8102757901073053,0.8938217217011869,0.7461750507354736,4.905879407234689,0.36445486532766364
17,2026-05-09T02:16:40.166112,1.8185661446562e-05,1222.8095331192017,985.3977837562561,237.4034206867218,-0.2486891271903024,0.8289442435267032,0.8121539375730701,0.8929067927418379,0.755322257677714,4.902661235328895,0.39872988818659216
18,2026-05-09T02:37:05.939264,1.7960510843367076e-05,1223.27099442482,985.2549097537994,238.0078468322754,-0.25319697072418207,0.8400509791282693,0.8234728510947538,0.8927956006018577,0.7471416592597961,4.872092638923077,0.4102865999927016
19,2026-05-09T02:57:30.759338,1.7723856673200297e-05,1222.3354272842407,985.4501719474792,236.87720727920532,-0.2852176125245147,0.8091418674140516,0.7922651699536003,0.894488707806334,0.7524731357892355,4.85692006161946,0.4125687903370295
20,2026-05-09T03:17:53.798387,1.7476063839639016e-05,1222.9829587936401,986.0719766616821,236.90288281440735,-0.2986227298014285,0.8389802200955243,0.8222369904833454,0.8942704315933802,0.7563735445340475,4.843528977266127,0.39124838135866896
21,2026-05-09T03:38:18.137178,1.7217514421272203e-05,1221.8737409114838,984.4720747470856,237.39351606369019,-0.3208842729547597,0.8246621917294329,0.8070760895057237,0.8924649738988851,0.7503693898518881,4.904692704580024,0.4163533818386582
22,2026-05-09T03:58:40.107565,1.694860708256295e-05,1221.9110114574432,985.2992596626282,236.6036195755005,-0.34132098341748246,0.8396370595710757,0.8223454406726601,0.8960229578353772,0.7619083325068156,4.869080126390897,0.3573925145528734
23,2026-05-09T04:19:06.308301,1.6669756459136747e-05,1223.6731476783752,986.3922984600067,237.27287125587463,-0.35765441558398964,0.8304831300683282,0.8126619238840869,0.8963424092567741,0.761247992515564,4.668149864464865,0.3690694071103369
24,2026-05-09T04:39:28.467807,1.6381392518443422e-05,1222.1032474040985,984.8303422927856,237.26483988761902,-0.36790785046803226,0.8313383931950858,0.8156418993636904,0.8987130640344504,0.7513980070749918,4.816673188020021,0.389600223811847
25,2026-05-09T04:59:50.459275,1.6083959896778493e-05,1221.9372384548187,984.726802110672,237.20233368873596,-0.38551480390183845,0.8158744922495551,0.7984749045000402,0.8920378234271394,0.7560508052508036,4.641041443733087,0.37235885299755545
26,2026-05-09T05:20:12.363703,1.577791721368622e-05,1221.8406162261963,985.2333116531372,236.5993583202362,-0.4097781130007341,0.8240946783623897,0.808801199245456,0.8977816574472731,0.7591993610064188,4.763067629722538,0.37532691640195376
27,2026-05-09T05:40:34.057598,1.5463736364801513e-05,1221.6360862255096,985.8037025928497,235.82416462898254,-0.4033452228968945,0.8287104990683871,0.812098175497245,0.898682754654852,0.751121997833252,4.792001611922967,0.37127947484839535
28,2026-05-09T06:00:56.941786,1.5141901794221072e-05,1222.8266842365265,985.4201054573059,237.3980996608734,-0.4265903109627144,0.8371091641921488,0.8215319859712596,0.8990938232661301,0.7641307711601257,4.771958525374028,0.42105206786540705
29,2026-05-09T06:21:20.953053,1.4812909747525693e-05,1221.5206723213196,984.9769155979156,236.53559374809265,-0.44580357312078606,0.8268964561615726,0.8103097365625925,0.8985396507579365,0.7572358250617981,4.822506393930318,0.35262048395373286
30,2026-05-09T06:41:44.335032,1.4477267506605567e-05,1223.320202589035,985.8782384395599,237.43371844291687,-0.4669560641143107,0.8300737307241051,0.8137208537326688,0.8977115990550567,0.7559671401977539,4.783524598108727,0.4112351136744358
31,2026-05-09T07:02:07.080639,1.4135492607468352e-05,1222.6844086647034,984.951592206955,237.72495579719543,-0.4757184083613739,0.8243507269138634,0.8079528537841127,0.8995078516418406,0.7640465895334879,4.632420570423608,0.3799219495493946
32,2026-05-09T07:22:29.424783,1.3788112042236182e-05,1222.2768983840942,985.394113779068,236.87460207939148,-0.484025949346944,0.8259365287861751,0.8101318131282707,0.8997391413827963,0.7622817754745483,4.713396229816535,0.417081626683592
33,2026-05-09T07:42:52.617400,1.3435661446562e-05,1223.1235880851746,985.3675422668457,237.7479965686798,-0.4994823634628138,0.8266533158171676,0.8102682926919453,0.8968827915552021,0.7536439498265585,4.7163277788226425,0.4162259373527662
34,2026-05-09T08:03:14.572398,1.3078684273718204e-05,1221.8889105319977,984.7666783332825,237.11434412002563,-0.49719136373556333,0.8502489478975521,0.8342742501119409,0.8986917316254912,0.762127161026001,4.7489620649129165,0.4420515831905292
35,2026-05-09T08:23:41.448834,1.2717730956631102e-05,1224.3399374485016,985.434362411499,238.89720177650452,-0.5208458518627426,0.8390141787546609,0.824428649748747,0.9017472055522623,0.7622478604316711,4.663244670813536,0.3966565580533614
36,2026-05-09T08:44:03.535182,1.235335805915322e-05,1222.0183396339417,985.19078540802,236.81974148750305,-0.5291996416845257,0.8300877305222379,0.8142734629362897,0.901797777058519,0.761854887008667,4.657815503498653,0.37656389002720997
37,2026-05-09T09:04:26.091031,1.1986127417882194e-05,1222.4850690364838,985.1479830741882,237.3290364742279,-0.5395668454695243,0.8351472732895656,0.8203995171020984,0.9020006083586803,0.7661701440811157,4.663123012959417,0.4009866314480792
38,2026-05-09T09:24:48.991951,1.161660527584946e-05,1222.8265464305878,985.36159491539,237.45717310905457,-0.5469600099954319,0.8296377365949419,0.8121612612747646,0.8989022957264133,0.76235431432724,4.634207013146705,0.3946877679951391
39,2026-05-09T09:45:10.133013,1.1245361409414528e-05,1221.0596568584442,985.6676330566406,235.38354873657227,-0.5534765584223095,0.8472981546665699,0.8317364632759021,0.9019831524295129,0.7613195975621542,4.588620347502144,0.40694022459589557
40,2026-05-09T10:05:34.759473,1.0872968249711152e-05,1222.0774817466736,985.8983252048492,236.1711781024933,-0.5566691713204752,0.8295419211258359,0.8136064497709088,0.9019928276480185,0.7682108283042908,4.582353292882413,0.38132376517882444
41,2026-05-09T10:25:56.926018,1.05e-05,1222.086126089096,985.1611580848694,236.91686391830444,-0.5719269506739214,0.8299586833429596,0.8141528279309966,0.9012013689068237,0.7644951939582825,4.598627992058633,0.3960196616613259
42,2026-05-09T10:46:18.766268,1.012703175028885e-05,1221.766527414322,985.8430714607239,235.9154896736145,-0.5804803646278331,0.8485583526937635,0.8334391455736999,0.8998978265058403,0.7684186895688375,4.5626890409840275,0.39457478135476726
43,2026-05-09T11:06:42.738043,9.754638590585474e-06,1221.404149055481,985.3200204372406,236.07605242729187,-0.5922970325416553,0.8424547290639879,0.827231424865811,0.9013817586730352,0.764317532380422,4.5974601979261385,0.41019599500382126
44,2026-05-09T11:27:04.906255,9.383394724150545e-06,1222.0654537677765,985.3773913383484,236.68002581596375,-0.5955629582555483,0.8356227879565784,0.8204835806572025,0.902844841407816,0.7662000060081482,4.554752895539566,0.3873041990398876
45,2026-05-09T11:47:27.372294,9.01387258211781e-06,1222.3870265483856,984.9568455219269,237.42215776443481,-0.5945860110018939,0.8460892895214359,0.8317709077707788,0.9009802079524625,0.7689883510271708,4.585068052715599,0.41351844770721735
46,2026-05-09T12:07:49.903928,8.646641940846783e-06,1222.452327489853,985.0535130500793,237.39079761505127,-0.6091483009744273,0.852955785327908,0.8378062306033346,0.9025847470985063,0.7683885296185812,4.617510055957603,0.4056740249329602
47,2026-05-09T12:28:14.402331,8.282269043368899e-06,1221.8240468502045,985.7873373031616,236.02865266799927,-0.6136923971148585,0.8534564337831093,0.8380103723065925,0.9012419123668104,0.7729379137357076,4.605068066543777,0.43624341033099084
48,2026-05-09T12:48:41.254172,7.921315726281793e-06,1224.3376970291138,986.5639970302582,237.76580238342285,-0.6240545674530239,0.8441972794864393,0.8295685568444368,0.9022277761430145,0.7703238328297933,4.618865812380161,0.42783362622973337
49,2026-05-09T13:09:05.071363,7.564338553438001e-06,1223.7334852218628,986.508584022522,237.21680212020874,-0.6338831874662405,0.8443569082570558,0.8289781516751288,0.9031039236923856,0.7707748810450236,4.543091138571884,0.41013669584363144
50,2026-05-09T13:29:26.460097,7.211887957763819e-06,1221.3047995567322,984.616555929184,236.68011569976807,-0.6345076649855487,0.8480057603757193,0.8333877034528183,0.9025028318008963,0.7716262141863505,4.5981798617337155,0.42282389139077764
51,2026-05-09T13:49:50.241454,6.8645073925316485e-06,1223.6952664852142,986.4968361854553,237.1903383731842,-0.6419806908330786,0.8447810339209723,0.8291525358020615,0.9015689749295023,0.7723392645517985,4.566047716203495,0.41877124305388147
